DemandRegion,Product,ShipmentSize,ServiceLevel,Period,DemandBundle,AmountDemanded,SolverInclude
ST_111_DT_MS_Columbus_39705-2129,DT,Outbound,DTR_SVC,Peak_2021,ST_111_DT_MS_Columbus_39705-2129,2263,Yes
ST_1120_DT_TX_Mesquite_75150-4105,DT,Outbound,DTR_SVC,Peak_2021,ST_1120_DT_TX_Mesquite_75150-4105,4688,Yes
ST_1122_DT_MD_Clinton_20735-2632,DT,Outbound,DTR_SVC,Peak_2021,ST_1122_DT_MD_Clinton_20735-2632,2776,Yes
ST_1124_DT_WV_Beckley_25801-2209,DT,Outbound,DTR_SVC,Peak_2021,ST_1124_DT_WV_Beckley_25801-2209,3455,Yes
ST_1127_DT_KY_Mount Sterling_40353-1156,DT,Outbound,DTR_SVC,Peak_2021,ST_1127_DT_KY_Mount Sterling_40353-1156,2458,Yes
ST_1128_DT_CT_Bloomfield_06002-3117,DT,Outbound,DTR_SVC,Peak_2021,ST_1128_DT_CT_Bloomfield_06002-3117,2216,Yes
ST_112_DT_AL_Jasper_35501-4076,DT,Outbound,DTR_SVC,Peak_2021,ST_112_DT_AL_Jasper_35501-4076,2971,Yes
ST_1130_DT_AL_Birmingham_35210-2332,DT,Outbound,DTR_SVC,Peak_2021,ST_1130_DT_AL_Birmingham_35210-2332,3635,Yes
ST_1131_DT_TX_San Antonio_78250-3211,DT,Outbound,DTR_SVC,Peak_2021,ST_1131_DT_TX_San Antonio_78250-3211,2971,Yes
ST_1132_DT_NC_Rocky Mount_27804-2530,DT,Outbound,DTR_SVC,Peak_2021,ST_1132_DT_NC_Rocky Mount_27804-2530,3670,Yes
ST_1133_DT_OH_Gallipolis_45631-1860,DT,Outbound,DTR_SVC,Peak_2021,ST_1133_DT_OH_Gallipolis_45631-1860,2181,Yes
ST_1134_DT_GA_Evans_30809-6327,DT,Outbound,DTR_SVC,Peak_2021,ST_1134_DT_GA_Evans_30809-6327,2119,Yes
ST_1135_DT_FL_Tallahassee_32301-4541,DT,Outbound,DTR_SVC,Peak_2021,ST_1135_DT_FL_Tallahassee_32301-4541,1901,Yes
ST_1136_DT_OK_Tulsa_74114-5928,DT,Outbound,DTR_SVC,Peak_2021,ST_1136_DT_OK_Tulsa_74114-5928,4175,Yes
ST_1137_DT_TX_Richardson_75081-4621,DT,Outbound,DTR_SVC,Peak_2021,ST_1137_DT_TX_Richardson_75081-4621,3389,Yes
ST_1138_DT_WI_Burlington_53105-9458,DT,Outbound,DTR_SVC,Peak_2021,ST_1138_DT_WI_Burlington_53105-9458,1343,Yes
ST_1139_DT_TX_Jasper_75951-5117,DT,Outbound,DTR_SVC,Peak_2021,ST_1139_DT_TX_Jasper_75951-5117,2128,Yes
ST_1141_DT_NY_Greece_14616-2527,DT,Outbound,DTR_SVC,Peak_2021,ST_1141_DT_NY_Greece_14616-2527,2972,Yes
ST_1142_DT_TX_San Antonio_78247-1929,DT,Outbound,DTR_SVC,Peak_2021,ST_1142_DT_TX_San Antonio_78247-1929,2697,Yes
ST_1144_DT_VA_Norfolk_23513-4082,DT,Outbound,DTR_SVC,Peak_2021,ST_1144_DT_VA_Norfolk_23513-4082,2673,Yes
ST_1146_DT_TX_Tomball_77375-8239,DT,Outbound,DTR_SVC,Peak_2021,ST_1146_DT_TX_Tomball_77375-8239,1818,Yes
ST_1147_DT_NC_Wallace_28466-6194,DT,Outbound,DTR_SVC,Peak_2021,ST_1147_DT_NC_Wallace_28466-6194,1674,Yes
ST_1148_DT_OK_Tulsa_74133-3124,DT,Outbound,DTR_SVC,Peak_2021,ST_1148_DT_OK_Tulsa_74133-3124,3599,Yes
ST_1149_DT_SC_Greenville_29617-3224,DT,Outbound,DTR_SVC,Peak_2021,ST_1149_DT_SC_Greenville_29617-3224,1849,Yes
ST_114_DT_AL_Montgomery_36117-4237,DT,Outbound,DTR_SVC,Peak_2021,ST_114_DT_AL_Montgomery_36117-4237,3601,Yes
ST_1150_DT_GA_Savannah_31404-3720,DT,Outbound,DTR_SVC,Peak_2021,ST_1150_DT_GA_Savannah_31404-3720,2640,Yes
ST_1151_DT_GA_Albany_31707-1288,DT,Outbound,DTR_SVC,Peak_2021,ST_1151_DT_GA_Albany_31707-1288,1420,Yes
ST_1152_DT_GA_Savannah_31408-3111,DT,Outbound,DTR_SVC,Peak_2021,ST_1152_DT_GA_Savannah_31408-3111,2353,Yes
ST_1153_DT_SC_North Charleston_29406-4644,DT,Outbound,DTR_SVC,Peak_2021,ST_1153_DT_SC_North Charleston_29406-4644,3301,Yes
ST_1154_DT_GA_Brunswick_31520-1949,DT,Outbound,DTR_SVC,Peak_2021,ST_1154_DT_GA_Brunswick_31520-1949,3415,Yes
ST_1157_DT_GA_Atlanta_30315-7926,DT,Outbound,DTR_SVC,Peak_2021,ST_1157_DT_GA_Atlanta_30315-7926,2207,Yes
ST_1159_DT_MA_West Springfield_01089-4009,DT,Outbound,DTR_SVC,Peak_2021,ST_1159_DT_MA_West Springfield_01089-4009,2236,Yes
ST_1160_DT_GA_Smyrna_30080-2802,DT,Outbound,DTR_SVC,Peak_2021,ST_1160_DT_GA_Smyrna_30080-2802,3027,Yes
ST_1161_DT_WI_Wausau_54401-7453,DT,Outbound,DTR_SVC,Peak_2021,ST_1161_DT_WI_Wausau_54401-7453,1827,Yes
ST_1162_DT_TX_Round Rock_78664-8306,DT,Outbound,DTR_SVC,Peak_2021,ST_1162_DT_TX_Round Rock_78664-8306,2381,Yes
ST_1163_DT_NY_Saratoga Springs_12866-4715,DT,Outbound,DTR_SVC,Peak_2021,ST_1163_DT_NY_Saratoga Springs_12866-4715,3385,Yes
ST_1164_DT_NC_Asheboro_27203-8811,DT,Outbound,DTR_SVC,Peak_2021,ST_1164_DT_NC_Asheboro_27203-8811,2937,Yes
ST_1165_DT_OK_Shawnee_74804-1336,DT,Outbound,DTR_SVC,Peak_2021,ST_1165_DT_OK_Shawnee_74804-1336,3336,Yes
ST_1166_DT_MO_Washington_63090-5284,DT,Outbound,DTR_SVC,Peak_2021,ST_1166_DT_MO_Washington_63090-5284,1381,Yes
ST_1167_DT_FL_Dania Beach_33004-5502,DT_Bulk_HV,Outbound,DTR_SVC,Peak_2021,ST_1167_DT_FL_Dania Beach_33004-5502,671,Yes
ST_1167_DT_FL_Dania Beach_33004-5502,DT_Bulk_Non-HV,Outbound,DTR_SVC,Peak_2021,ST_1167_DT_FL_Dania Beach_33004-5502,1188,Yes
ST_1168_DT_FL_Orlando_32837-6539,DT_Bulk_HV,Outbound,DTR_SVC,Peak_2021,ST_1168_DT_FL_Orlando_32837-6539,1223,Yes
ST_1168_DT_FL_Orlando_32837-6539,DT_Bulk_Non-HV,Outbound,DTR_SVC,Peak_2021,ST_1168_DT_FL_Orlando_32837-6539,2446,Yes
ST_1170_DT_TX_Seguin_78155-1479,DT,Outbound,DTR_SVC,Peak_2021,ST_1170_DT_TX_Seguin_78155-1479,2826,Yes
ST_1172_DT_TX_San Marcos_78666-6178,DT,Outbound,DTR_SVC,Peak_2021,ST_1172_DT_TX_San Marcos_78666-6178,2133,Yes
ST_1173_DT_TX_Athens_75751-2153,DT,Outbound,DTR_SVC,Peak_2021,ST_1173_DT_TX_Athens_75751-2153,1578,Yes
ST_1174_DT_VA_Big Stone Gap_24219-4483,DT,Outbound,DTR_SVC,Peak_2021,ST_1174_DT_VA_Big Stone Gap_24219-4483,1769,Yes
ST_1175_DT_PA_Saint Marys_15857-2862,DT,Outbound,DTR_SVC,Peak_2021,ST_1175_DT_PA_Saint Marys_15857-2862,1214,Yes
ST_1176_DT_TX_Arlington_76017-4496,DT,Outbound,DTR_SVC,Peak_2021,ST_1176_DT_TX_Arlington_76017-4496,2050,Yes
